['/p/BvOcW-OljQd/'],"16,289",463,76.7k,"['#Manipur', '#RahulDemocracyDialogue']"
['/p/BvMwCNUlB4y/'],22.8k,169,-1,['#India']
['/p/BvMsiIWFZjG/'],"8,462",131,52.3k,[]
['/p/BvMRtRmlfW2/'],"31,087","2,065",661k,[]
['/p/BvL_HfvlYne/'],14.8k,116,-1,"['#DidYouKnow', '#TuesdayTrivia', '#BhakraDam', '#KnowYourLegacy', '#60YearsOfCongress']"
['/p/BvLaquilOXq/'],"7,195",183,35.5k,"['#AngelTax', '#startups', '#RahulTakingIndiaForward']"
['/p/BvJ0SsllXtP/'],"11,800",560,53.3k,[]
['/p/BvJXFB8FwgP/'],"11,145",203,49.3k,"['#JawaharlalNehru', '#peace', '#WorldPeace', '#BritishPathe', '#Hollywood', '#MotionPictures', '#Exclusive', '#MondayMotivation', '#sirry']"
['/p/BvI4chVF5bL/'],"8,842",107,-1,"['#MondayMotivation', '#JawaharlalNehru', '#QuotesOfTheDay', '#Congress', '#WeAreOne']"
['/p/BvHq3zllDml/'],"32,964","1,060",166k,"['#facts', '#ChowkidarChorHai', '#NoMo', '#SundayVibes']"
['/p/BvHB9VxFIXH/'],"5,073",163,27.5k,"['#HateCrimes', '#silent', '#RealReport', '#StopHateCrimes', '#NoMo']"
['/p/BvEP1ShFeD0/'],17k,639,-1,"['#ChowkidarChorHai', '#SuitBootKaChowkidar', '#Memes']"
['/p/BvDvpCElwN_/'],"11,321",553,78.9k,['#PunKiBaat']
['/p/BvCUkhGlX9y/'],26.1k,545,-1,['#WorldSleepDay']
['/p/BvCMaVtFKIG/'],"6,339",345,27.6k,"['#HealthcareForAll', '#CongressManifesto', '#margayethe']"
['/p/BvCDE1tl1OG/'],"9,494",233,-1,['#PunIntended']
['/p/BvBhwhAlAW9/'],13.4k,304,-1,"['#SpotTheDifference', '#ChowkidarChorHai', '#FridayMotivation']"
['/p/Bu_uKZjlM7I/'],"21,345","1,340",147k,"['#MustWatch', '#Hug', '#HugplomacyYaadRakhna', '#HugHighlights', '#TBT']"
['/p/Bu_tVGMFgaz/'],"8,828",350,65.4k,"['#Hugplomacy', '#HugplomacyYaadRakhna']"
['/p/Bu_EcqUlfaY/'],"9,547",665,-1,"['#ContestAlert', '#GiveAway', '#INC', '#Congress', '#PrizeMoney', '#ThrowbackThursday']"
['/p/Bu-wShsFTM4/'],"29,222",928,164k,"['#Trending', '#VanakkamRahulGandhi', '#Changemakers', '#CallMeRahul']"
['/p/Bu-mwH2lboz/'],"15,339",590,107k,['#VanakkamRahulGandhi']
['/p/Bu-OmFjF9Dd/'],22.3k,158,-1,"['#women', '#Congress', '#VanakkamRahulGandhi']"
['/p/Bu-NjwzF-Mr/'],"8,625",204,34k,"['#education', '#VanakkamRahulGandhi']"
['/p/Bu833_bFSQH/'],27.3k,256,-1,"['#VanakkamRahulGandhi', '#BelieveInYourself']"
['/p/Bu8jxA3lX9C/'],"18,575",485,95.9k,"['#VanakkamRahulGandhi', '#Changemakers', '#LoveNotHate']"
['/p/Bu8hcwgFopI/'],"8,630",83,34.3k,"['#Modi', '#Students', '#VanakkamRahulGandhi']"
['/p/Bu8gtFOlwJJ/'],"11,301",196,44.9k,"['#women', '#VanakkamRahulGandhi', '#ThisBillWillPass', '#Congress', '#Changemakers', '#gobackrahul']"
['/p/Bu8di8tFXwv/'],"14,116",194,54.7k,"['#humility', '#mother', '#respect', '#VanakkamRahulGandhi', '#Changemakers']"
['/p/Bu8auRyFWGR/'],"12,369",247,45.7k,"['#students', '#VanakkamRahulGandhi']"
['/p/Bu8FS7AF1pK/'],"9,861",90,42.8k,['#VanakkamRahulGandhi']
['/p/Bu6WGO_ljFQ/'],"17,110",594,69.8k,"['#GandhiMarchesOn', '#PriyankaGandhiVadra', '#Vote', '#Democracy']"
['/p/Bu6UbnqlI_R/'],26.6k,215,-1,['#GandhiMarchesOn']
['/p/Bu6SFtYlyJb/'],"10,632",406,50.1k,"['#GandhiMarchesOn', '#NoMo', '#CorruptModi', '#ChowkidarChorHai']"
['/p/Bu5ihipl3bc/'],12.3k,96,-1,"['#Nonviolence', '#MahatmaGandhi', '#DandiMarchDay']"
['/p/Bu5iDARl_jh/'],"5,376",30,-1,"['#MahatmaGandhi', '#DandiMarch', '#DandiMarchDay', '#Satyagraha', '#CivilDisobedience', '#NonViolence']"
['/p/Bu5hIrClW7A/'],10.7k,36,-1,"['#truth', '#nonviolence', '#MahatmaGandhi', '#DandiMarchDay']"
['/p/Bu1T7wvlwPk/'],"9,173",438,-1,['#RegisterToVote']
['/p/Bu1TkwdlI-p/'],"4,125",131,20.9k,"['#ElectionCommission', '#LokSabha', '#RegisterToVote']"
['/p/Bu1Tg-1Fwrq/'],"4,449",81,-1,"['#RegisterToVote', '#register']"
['/p/Bu0pDzdlngf/'],"8,266",378,34.9k,"['#NoMo', '#CorruptModi']"
['/p/Bu0N57Pl9GN/'],"11,148","1,464",192k,['#SundayStory']
['/p/Bu0MerrlXYU/'],"14,860",476,78.1k,"['#BJP', '#Pakistan', '#NoMo', '#CorruptModi']"
['/p/BuytaVhFcRX/'],"8,355",476,78.1k,[]
['/p/BuySWa8lL3J/'],13.6k,466,-1,"['#NoMo', '#CorruptModi', '#AmbaniKaChowkidar', '#AA']"
