['/p/Bvii1B7lv8g/'],"9,041",331,55.7k
['/p/BviQJ84Fnh5/'],"12,568",569,68k
['/p/Bvgn2a-FJSM/'],19.4k,446,-1
['/p/Bvgd6WZlmsz/'],41.7k,599,-1
['/p/BvgEq1wl6uM/'],19.5k,498,-1
['/p/BveorvylANX/'],"14,533",470,61.4k
['/p/BveVteOFDul/'],"8,862",125,-1
['/p/BveD5zCFS5o/'],"9,646",183,41.2k
['/p/BvbqL14lpu9/'],"23,289","2,615",303k
['/p/BvbeSRhFHnN/'],18.6k,710,-1
['/p/Bva_qpRllMZ/'],"17,991",451,69.4k
['/p/BvYp0xZFXxD/'],"10,011",333,47.1k
['/p/BvWjMA9ljEa/'],"7,735",50,-1
['/p/BvWOXp_FZuh/'],"8,202",327,32.2k
['/p/BvV3cigFsq7/'],12.4k,549,-1
['/p/BvUDV0YlA7v/'],"14,601",392,78.4k
['/p/BvTn7knFhku/'],15.7k,405,-1
['/p/BvThii1FXva/'],"16,717","1,451",219k
['/p/BvTQXoulcF3/'],21.7k,666,-1
['/p/BvQsITfl4iJ/'],"6,870",62,-1
['/p/BvQg6h8lMxe/'],"11,344",60,38.2k
['/p/BvOtY1SF2gD/'],"7,341",133,-1
['/p/BvOs7GGlsYP/'],"9,731",192,51.4k
['/p/BvOqq3ilR0e/'],"6,848",103,-1
['/p/BvOpZhdFmAO/'],"6,053",58,18k
['/p/BvOow4jF3jF/'],"8,869",156,-1
['/p/BvOcW-OljQd/'],"16,286",463,76.7k
['/p/BvMwCNUlB4y/'],22.8k,169,-1
['/p/BvMsiIWFZjG/'],"8,461",131,52.3k
['/p/BvMRtRmlfW2/'],"30,820","2,035",649k
['/p/BvL_HfvlYne/'],14.8k,116,-1
['/p/BvLaquilOXq/'],"7,193",183,35.5k
['/p/BvJ0SsllXtP/'],"11,799",560,53.2k
['/p/BvJXFB8FwgP/'],"11,143",203,49.2k
['/p/BvI4chVF5bL/'],"8,839",107,-1
['/p/BvHq3zllDml/'],"32,952","1,060",165k
['/p/BvHB9VxFIXH/'],"5,072",162,27.4k
