['/p/BwHXR86Dne-/'],18778,114,62.9k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">India with NAMO.<br/><br/>Modi govt has already delivered much more to the poor than what the bluff announcement of the Congress promises. Having witnessed many shallow promises to eliminate poverty by the Gandhi family over the decades, people will not let this latest ‘fool the poor’ scheme succeed.</span></div>"
['/p/BwHHu_hDVuJ/'],20818,167,89.3k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>In Bengal, the goons of TMC have killed more than 60 karyakartas of BJP.<br/><br/>Mamata Didi can't suppress the voice of Bengal by unleashing violence. <br/>It's in the nature of BJP Karyakartas fight injustice till the end and defeat you: Shri Amit Shah</span></div>"
['/p/BwG7PcMHvkG/'],66.8k,324,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>Amethi wants change, Amethi wants BJP!</span></div>"
['/p/BwGxBZCjwW6/'],26860,578,138k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">The Congress launches another 'Fool The People Scheme'.<br/><br/>Let people know where the money for the bluff announcement of the Congress to pay out Rs. 6,000/month will come from.<br/><br/>Option 1: Increase taxes <br/>Option 2: Cut subsidies<br/><br/>Option 3: Impose indiscriminate taxes on corporates <br/>Repercussions: Will hit all sections of society badly.</span></div>"
['/p/BwGl77uj4Bh/'],45845,421,111k,"['#BJP', '#governance', '#votekar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify""><a href=""/explore/tags/votekar/"">#votekar</a><br/><br/>इस चुनाव में आपको सिर्फ सांसद नहीं चुनना है, सिर्फ प्रधानमंत्री नहीं चुनना है बल्कि एक मजबूत भारत के लिए मजबूत सरकार चुननी है।</span></div>"
['/p/BwGi4YRnL6Z/'],44.2k,353,-1,"['#BJP', '#governance', '#VoteKar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>Vote for a New India. Come out in large numbers and <a href=""/explore/tags/votekar/"">#VoteKar</a>.</span></div>"
['/p/BwGZLuoHqD_/'],75.4k,679,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>We appeal to every eligible voter to participate in this festival of democracy called elections by exercising your right to vote.<br/><br/>Make your vote count and vote wisely for a stronger and prosperous New India.</span></div>"
['/p/BwFOCxnnT-8/'],17024,98,62.9k,"['#BJP', '#governance', '#VoteKar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">A simple guide how to <a href=""/explore/tags/votekar/"">#VoteKar</a>.</span></div>"
['/p/BwFJPImnBel/'],25258,204,108k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>कांग्रेस का पंजा या तो सरकारी खजाने की सफाई करना जानता है या फिर रिमोट से मजबूर सरकार चलाना जानता है। कांग्रेस को मजबूर सरकार ही सूट करती है, क्योंकि वहां ये मनमानी कर सकते हैं, पर्दे के पीछे बैठकर जो चाहें वो करा सकते हैं: पीएम नरेन्द्र मोदी</span></div>"
['/p/BwFIdveHppw/'],45.1k,324,-1,"['#BJP', '#governance', '#ModiOnceMore']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>कश्मीर से कन्याकुमारी, मोदी जी सब पर भारी... <a href=""/explore/tags/modioncemore/"">#ModiOnceMore</a></span></div>"
['/p/BwExiAznmlu/'],37983,346,200k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">देवबंद की मुस्लिम महिलाएं बोलीं, फिर एक बार मोदी सरकार।</span></div>"
['/p/BwEjJE_n8l2/'],25k,251,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>Is this why Congress wants to remove AFSPA?</span></div>"
['/p/BwEdwGiHrmi/'],23567,101,84.5k,"['#BJP', '#governance', '#ModiOnceMore']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">India says <a href=""/explore/tags/modioncemore/"">#ModiOnceMore</a>.</span></div>"
['/p/BwESat7nL52/'],14440,74,52.4k,"['#BJP', '#governance', '#modineveragain', '#modiforpm2019']","<div class=""C4VMK""><h3 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/prabal_pratap_singh_parihar/"" title=""prabal_pratap_singh_parihar"">prabal_pratap_singh_parihar</a></h3><span>टीवी पर कांग्रेस का विज्ञापन आ रहा है<br/>""अब न्याय होगा""<br/>तो कांग्रेस 70 सालो से क्या मुजरा कर रही थी<br/>😀😆😛😛😝</span></div>"
['/p/BwEIVZSHJfA/'],20.4k,171,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>कांग्रेस का तुगलक रोड चुनावी घोटाला।</span></div>"
['/p/BwCtE9rHOO-/'],60.2k,168,-1,"['#BJP', '#governance', '#IsBaarNaMoPhirSe']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>Glimpses of Shri Amit Shah's roadshow in Puri, Odisha. <a href=""/explore/tags/isbaarnamophirse/"">#IsBaarNaMoPhirSe</a></span></div>"
['/p/BwCpyXSHbcj/'],66.1k,157,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>भाजपा राष्ट्रीय अध्यक्ष श्री अमित शाह ने पुरी में महाप्रभु जगन्नाथ के दर्शन कर पूजा अर्चना की। जय जगन्नाथ!</span></div>"
['/p/BwCl7OhHhtn/'],39087,509,163k,"['#BJP', '#governance']","<div class=""C4VMK""><h3 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/rht_tharse/"" title=""rht_tharse"">rht_tharse</a></h3><span>Brainwash</span></div>"
['/p/BwCFHDqnkTA/'],19646,217,114k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>सोनिया-मनमोहन की सरकार में ‘15% कमीशन वाले’ मंत्री थे कमलनाथ। अब इनके रंग फिर दिख रहे हैं। देश को जो बेच खाएं, उनके झांसे में ना आएं।</span></div>"
['/p/BwB-YQ-Hmcz/'],40615,529,144k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>मैं First Time Voters को कहना चाहता हूं कि आपका पहला वोट... बालाकोट में एयर स्ट्राइक करने वाले वीर जवानों के नाम समर्पित हो सकता है क्या? पुलवामा में शहीद वीरों के नाम समर्पित हो सकता है क्या? देश के गरीबों, किसानों, मजदूरों, महिलाओं के विकास के लिए समर्पित हो सकता है क्या?: पीएम</span></div>"
['/p/BwB11w1nQh1/'],23996,118,73.2k,"['#BJP', '#governance', '#ModiSpeaksToNews18']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>""नया भारत आतंकियों को घर में घुस के मारेगा।"" देखिए प्रधानमंत्री श्री नरेन्द्र मोदी का साक्षात्कार न्यूज़ नेटवर्क 18 के सभी 20 चैनलों पर आज शाम 7 बजे और रात 10 बजे। <a href=""/explore/tags/modispeakstonews18/"">#ModiSpeaksToNews18</a></span></div>"
['/p/BwBjzfDHuoo/'],25610,202,99.5k,"['#BJP', '#governance', '#MyFirstVoteForModi']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>The josh of exuberant first time voters across India is high. They are not only excited to cast their first vote but also make it count!<br/><br/>They are singing in unison. “My first vote to the one, one and only one who has got everything done”<br/><br/>Join them. Tweet with <a href=""/explore/tags/myfirstvoteformodi/"">#MyFirstVoteForModi</a></span></div>"
['/p/BwBYW9inS-y/'],11256,39,25.7k,"['#BJP', '#governance', '#BJPSankalpPatr2019']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>सुशासन का संकल्प। <a href=""/explore/tags/bjpsankalppatr2019/"">#BJPSankalpPatr2019</a></span></div>"
['/p/BwAFsDwnk_u/'],18342,171,48.6k,"['#BJP', '#governance', '#BJPSankalpPatr2019']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>भाजपा का संकल्प पत्र वरिष्ठ नेताओं, विभिन्न क्षेत्रों के विशेषज्ञों और 6 करोड़ से ज्यादा लोगों की भागीदारी से तैयार हुआ है। संकल्प पत्र के लिए इतने लोगों की भागीदारी का होना, दुनिया की राजनीतिक पार्टियों के बीच एक रिकॉर्ड बनने जा रहा है: श्री अमित शाह <a href=""/explore/tags/bjpsankalppatr2019/"">#BJPSankalpPatr2019</a></span></div>"
